Camera,Trial,Arena,Date,Day,Origin,Mark,Sex,Fish_ID,Group,Tank,Notes,tot_dist,mean_velocity,high_dur,mid_dur,low_dur,freezing_dur,arena_dur,latency_high,freq_high
None,2,5,2/03/2020,Monday,WCB,Ora.Bro,male,a9610,Within Control,Tall,,1289.13,2.92985,0,0,440.08,0.64,440.08,,0
None,2,6,2/03/2020,Monday,WCB,Blu.Whi,female,a9580,Within Control,Tall,,1098.81,2.49731,2.32,30.64,407.12,13.84,440.08,335.76,3
None,3,1,2/03/2020,Monday,WCB,Whi.Ora,female,a9596,Within Control,Tall,,1921.7,4.36749,52.48,77.28,310.32,0,440.08,302.72,11
None,3,2,2/03/2020,Monday,WCB,Blu.Ora,female,a9583,Within Control,Tall,,798.265,1.81424,17.6,26.56,395.92,153.6,440.08,391.84,4
None,3,3,2/03/2020,Monday,WCB,Ora.Bla,female,a9608,Within Control,Tall,,1430.99,3.25225,288.08,97.76,54.24,0.48,440.08,0,14
None,3,4,2/03/2020,Monday,WCB,Pur.Pin,male,a9686,Within Control,Tall,,1086.23,2.46871,0,0,440.08,12.96,440.08,,0
None,3,5,2/03/2020,Monday,WCB,Bro.Gre,female,a9704,Within Control,Tall,,1981.84,4.50419,73.44,101.04,265.6,0.72,440.08,134.72,15
None,3,6,2/03/2020,Monday,WCB,Yel.Yel,female,a9613,Within Control,Tall,,1014.11,2.30479,0,0,440.08,1.84,440.08,,0
None,4,1,2/03/2020,Monday,WCB,Blu.Red,male,a9582,Within Control,Tall,,2322.16,5.27763,93.84,65.04,281.2,12.48,440.08,39.2,23
None,4,2,2/03/2020,Monday,WCB,Pur.Blu,male,a9687,Within Control,Tall,,2458.29,5.58703,133.12,93.28,213.68,1.2,440.08,100.56,24
None,4,3,2/03/2020,Monday,MA,Bro.Gre,female,a9796,Maternal,Tall,,671.358,1.52581,17.92,22,400.16,79.36,440.08,384.56,3
None,4,4,2/03/2020,Monday,MA,Red.Yel,female,a9761,Maternal,Tall,,2109.92,4.79528,170.88,103.44,165.76,0.08,440.08,94.24,21
None,4,5,2/03/2020,Monday,MA,Red.Blu,female,a9759,Maternal,Tall,,7.03247,0.0159829,0,0,440.08,440,440.08,,0
None,4,6,2/03/2020,Monday,MA,_.Yel,male,a9764,Maternal,Tall,,1217.86,2.76786,0,0,440.08,1.12,440.08,,0
None,5,1,2/03/2020,Monday,MA,Gre.Gre,female,a9804,Maternal,Tall,,1467.34,3.33487,0,0,440.08,0.24,440.08,,0
None,5,2,2/03/2020,Monday,MA,Red.Red,male,a9754,Maternal,Tall,,1616.7,3.67432,17.12,88.8,334.16,0.24,440.08,224.72,5
None,5,3,2/03/2020,Monday,MA,Bro.Yel,female,a9794,Maternal,Tall,,639.614,1.45367,0,0,440.08,4.08,440.08,,0
None,5,4,2/03/2020,Monday,MA,Red.Bro,male,a9760,Maternal,Tall,,1745.63,3.96806,10.24,47.44,382.4,0.24,440.08,375.76,3
None,5,5,2/03/2020,Monday,MA,Red.Gre,female,a9758,Maternal,Tall,,1761.89,4.00429,98.64,101.28,240.16,0.32,440.08,74.64,15
None,5,6,2/03/2020,Monday,MA,Gre.Blu,male,a9808,Maternal,Tall,,7.01374,0.0159403,0,0,440.08,440,440.08,,0
None,6,1,2/03/2020,Monday,MA,Whi.Ora,female,a9839,Maternal,Tall,,241.115,0.547988,0,0,440.08,230.24,440.08,,0
None,6,2,2/03/2020,Monday,MA,Gre.Whi,female,a9809,Maternal,Tall,,1840.99,4.18407,119.36,54.4,266.32,1.44,440.08,104.72,14
None,6,3,2/03/2020,Monday,MA,_.Bla,male,a9800,Maternal,Tall,,441.771,1.00403,0,0,440.08,158.16,440.08,,0
None,6,4,2/03/2020,Monday,MA,Red.Pur,female,a9762,Maternal,Tall,,1383.77,3.14494,0,0,440.08,0.96,440.08,,0
None,6,5,2/03/2020,Monday,MA,Blu.Yel,female,a9845,Maternal,Tall,,9.02942,0.0205214,0,0,440.08,440,440.08,,0
None,6,6,2/03/2020,Monday,MA,Red._,female,a9848,Maternal,Tall,,945.819,2.14959,23.52,49.76,366.8,26.8,440.08,320.4,3
None,7,1,2/03/2020,Monday,MA,Bro.Pin,male,a9793,Maternal,Tall,,13.8289,0.0314294,0,0,440.08,435.68,440.08,,0
None,7,2,2/03/2020,Monday,MA,_.Gre,male,a9803,Maternal,Tall,,1901.75,4.32217,37.68,116.72,285.68,16.88,440.08,242,13
None,7,3,2/03/2020,Monday,MA,Pin.Ora,male,a9858,Maternal,Tall,,687.686,1.56292,0,0,440.08,111.04,440.08,,0
None,7,4,2/03/2020,Monday,MA,Yel._,male,a9763,Maternal,Tall,,27.2418,0.0619132,0,0,440.08,414.64,440.08,,0
None,8,1,2/03/2020,Monday,WTB,Gre.Pur,male,a10043,Within Treatment,Tall,,1871.71,4.25388,83.6,79.84,276.64,0.4,440.08,121.2,9
None,8,2,2/03/2020,Monday,WTB,Ora.Ora,female,a10060,Within Treatment,Tall,,2731.25,6.20739,198.16,108.08,133.84,0.08,440.08,0,40
None,8,3,2/03/2020,Monday,WTB,_.Blu,female,a10040,Within Treatment,Tall,,1832.56,4.1649,40.16,129.76,270.16,0.08,440.08,169.2,8
None,8,4,2/03/2020,Monday,WTB,Whi.Bro,female,a10159,Within Treatment,Tall,,2094.86,4.76105,167.52,48.72,223.84,0.72,440.08,12.72,15
None,8,5,2/03/2020,Monday,WTB,Yel.Yel,female,a10097,Within Treatment,Tall,Jumped,2102.91,4.77933,127.12,66.88,246.08,0.4,440.08,114.24,15
None,8,6,2/03/2020,Monday,WTB,Pin.Bro,male,a10088,Within Treatment,Tall,,1920.22,4.36414,88.56,99.44,252.08,2.32,440.08,64.08,18
None,9,1,2/03/2020,Monday,WTB,Whi.Bla,male,a10152,Within Treatment,Tall,,1347.47,3.06244,0,0,440.08,0.88,440.08,,0
None,9,2,2/03/2020,Monday,WTB,Pur.Pur,female,a10081,Within Treatment,Tall,,1905.09,4.33054,57.76,77.68,304.64,0.32,440.08,73.52,10
None,9,3,2/03/2020,Monday,WTB,Whi.Pin,female,a10154,Within Treatment,Tall,,1611.77,3.66311,69.68,105.36,265.04,0.72,440.08,235.04,9
None,9,4,2/03/2020,Monday,WTB,Ora.Pin,female,a10063,Within Treatment,Tall,,1524.63,3.46507,305.92,55.2,78.96,0.24,440.08,0,4
None,9,5,2/03/2020,Monday,WTB,Pin.Red,male,a10089,Within Treatment,Tall,,1668.31,3.79162,50.16,77.36,312.56,1.44,440.08,103.84,12
None,9,6,2/03/2020,Monday,WTB,Pur.Gre,male,a10074,Within Treatment,Tall,,1722.72,3.91526,86.88,120.88,232.32,0.24,440.08,97.04,12
None,10,1,2/03/2020,Monday,WTB,_.Yel,male,a10096,Within Treatment,Tall,,2020.47,4.59197,339.28,55.68,45.12,0.8,440.08,3.84,18
None,10,2,2/03/2020,Monday,WTB,Red.Bro,male,a10169,Within Treatment,Tall,,2872.03,6.52733,70.64,143.36,226.08,0.08,440.08,97.04,28
None,10,3,2/03/2020,Monday,WTB,Whi.Ora,female,a10160,Within Treatment,Tall,,991.45,2.25329,0,9.12,430.96,2.16,440.08,,0
None,10,4,2/03/2020,Monday,WTB,Red._,male,a10155,Within Treatment,Tall,,1146.64,2.60601,0,2.16,437.92,63.52,440.08,,0
None,10,5,2/03/2020,Monday,WTB,Pur.Red,female,a10076,Within Treatment,Tall,,1141.14,2.59349,97.84,59.04,283.2,128.08,440.08,197.36,11
None,10,6,2/03/2020,Monday,WTB,Blu.Ora,female,a10059,Within Treatment,Tall,,945.861,2.14968,0,0,440.08,110.4,440.08,,0
None,11,1,2/03/2020,Monday,WTB,Gre._,male,a10037,Within Treatment,Tall,,1880.12,4.273,157.84,151.92,130.32,0.24,440.08,137.2,14
None,11,2,2/03/2020,Monday,WTB,Gre.Bro,male,a10044,Within Treatment,Tall,,3202.08,7.27746,248,124.88,67.2,0.08,440.08,0,53
None,11,3,2/03/2020,Monday,PA,Whi.Bro,female,a9929,Paternal,Tall,,973.144,2.21169,18.08,45.84,376.16,109.6,440.08,161.68,7
None,11,4,2/03/2020,Monday,PA,Whi.Red,male,a9931,Paternal,Tall,,644.333,1.46439,0,0,440.08,32.8,440.08,,0
None,11,5,2/03/2020,Monday,PA,Blu.Bla,male,a9984,Paternal,Tall,,2414.39,5.48726,106.4,117.28,216.4,0.88,440.08,78.32,24
None,11,6,2/03/2020,Monday,PA,Ora.Pin,female,a9961,Paternal,Tall,,1631.69,3.70838,192.24,94.16,153.68,0.08,440.08,0,13
None,12,1,2/03/2020,Monday,PA,Gre.Gre,female,a9874,Paternal,Tall,,2229.71,5.06753,83.52,84,272.56,0.48,440.08,184.96,22
None,12,2,2/03/2020,Monday,PA,Bla.Gre,female,a9922,Paternal,Tall,,2319.61,5.27185,117.84,74.88,247.36,0.16,440.08,111.2,20
None,12,3,2/03/2020,Monday,PA,Pin.Blu,male,a9960,Paternal,Tall,,926.852,2.10648,17.68,34.08,388.32,10.72,440.08,392.08,4
None,12,4,2/03/2020,Monday,PA,Gre.Pin,male,a9880,Paternal,Tall,,2134.49,4.85111,95.68,71.44,272.96,0.24,440.08,152.48,19
None,12,5,2/03/2020,Monday,PA,Bla.Pin,male,a9919,Paternal,Tall,,2709.31,6.15752,149.12,119.2,171.76,0,440.08,50.16,33
None,12,6,2/03/2020,Monday,PA,_.Bro,female,a9917,Paternal,Tall,,2143.41,4.87139,191.6,74.48,174,0.32,440.08,136.64,19
None,13,1,2/03/2020,Monday,PA,Ora.Ora,female,a9962,Paternal,Tall,,2757.02,6.26595,230.24,77.12,132.72,0,440.08,22.08,29
None,13,2,2/03/2020,Monday,PA,Gre.Blu,male,a9881,Paternal,Tall,,12.2474,0.0278349,0,0,440.08,440,440.08,,0
None,13,3,2/03/2020,Monday,PA,Pin.Pur,female,a9957,Paternal,Tall,,1487.64,3.381,56.08,51.44,332.56,0.88,440.08,92.88,8
None,13,4,2/03/2020,Monday,PA,Pin.Yel,male,a9956,Paternal,Tall,,2500.38,5.68268,59.52,89.68,290.88,0.24,440.08,122.8,17
None,13,5,2/03/2020,Monday,PA,Gre.Ora,female,a9876,Paternal,Tall,,2295.99,5.21817,92.32,98.24,249.52,0.56,440.08,109.6,22
None,13,6,2/03/2020,Monday,PA,Bla.Red,female,a9921,Paternal,Tall,,1642.16,3.73218,0,5.84,434.24,0.64,440.08,,0
None,14,1,2/03/2020,Monday,PA,_.Gre,male,a9873,Paternal,Tall,,1853.32,4.21209,80.88,66.96,292.24,0.56,440.08,122.56,8
None,14,2,2/03/2020,Monday,PA,Bla.Ora,female,a9887,Paternal,Tall,,1379.04,3.13419,22.48,85.92,331.68,0.96,440.08,154.08,4
None,14,3,2/03/2020,Monday,PA,Pin.Red,female,a9958,Paternal,Tall,,1975.97,4.49085,91.28,102,246.8,0.64,440.08,188,16
None,14,4,2/03/2020,Monday,PA,Whi.Whi,male,a9926,Paternal,Tall,,1418.27,3.22334,40.16,50.4,349.52,74.08,440.08,264.96,11
None,15,1,2/03/2020,Monday,WCA,Red.Pin,female,a9673,Within Control,Tall,,2479.94,5.63623,127.76,88.24,224.08,0.08,440.08,16,19
None,15,2,2/03/2020,Monday,WCA,Whi.Yel,female,a9599,Within Control,Tall,,2538.11,5.76844,170.08,104.48,165.52,0.16,440.08,0.24,27
None,15,3,2/03/2020,Monday,WCA,Red.Gre,male,a9680,Within Control,Tall,,2571.68,5.84473,160.48,97.52,182.08,0.08,440.08,0.96,26
None,15,4,2/03/2020,Monday,WCA,Red.Bla,male,a9676,Within Control,Tall,,1045.88,2.37701,0,0,440.08,70.16,440.08,,0
None,15,5,2/03/2020,Monday,WCA,Red.Yel,female,a9678,Within Control,Tall,,1969.15,4.47534,139.76,73.52,226.8,0,440.08,9.36,16
None,15,6,2/03/2020,Monday,WCA,Gre.Pur,female,a9556,Within Control,Tall,,2690.1,6.11386,144.8,140.72,154.56,0.24,440.08,41.52,41
None,16,1,2/03/2020,Monday,WCA,Ora.Blu,female,a9607,Within Control,Tall,,2178.05,4.95101,134.24,114.24,191.52,0.24,440,103.2,25
None,16,2,2/03/2020,Monday,WCA,Pur._,male,a9562,Within Control,Tall,,44.3564,0.10081,0,0,440.08,411.04,440.08,,0
None,16,3,2/03/2020,Monday,WCA,Ora.Red,male,a9606,Within Control,Tall,,1748.47,3.97379,35.6,72.8,331.68,0.48,440.08,261.28,8
None,16,4,2/03/2020,Monday,WCA,Gre.Bla,male,a9554,Within Control,Tall,,1662.51,3.77843,190.72,126.88,122.48,0.4,440.08,88.96,19
None,16,5,2/03/2020,Monday,WCA,Blu.Yel,female,a9577,Within Control,Tall,,1766.44,4.01464,44.96,57.04,338.08,1.44,440.08,259.92,9
None,16,6,2/03/2020,Monday,WCA,Pur.Red,female,a9566,Within Control,Tall,,1596.72,3.62891,46.64,37.2,356.24,0.32,440.08,67.92,8
None,17,1,2/03/2020,Monday,WCA,Ora.Ora,male,a9706,Within Control,Tall,,1952.76,4.43809,34.56,56.96,348.56,0.4,440.08,136.96,6
None,17,2,2/03/2020,Monday,WCA,Ora.Whi,male,a9611,Within Control,Tall,,2214.7,5.0334,81.76,120.96,237.36,0.08,440.08,235.36,16
None,17,3,2/03/2020,Monday,WCA,Red.Ora,male,a9681,Within Control,Tall,,699.378,1.5895,0,0,440.08,46.96,440.08,,0
None,17,4,2/03/2020,Monday,WCA,Pin.Gre,male,a9588,Within Control,Tall,,1223.65,2.78103,11.44,30.08,398.56,1.6,440.08,208.4,3
None,17,5,2/03/2020,Monday,WCA,Red.Whi,female,a9679,Within Control,Tall,,1327.21,3.01638,34.24,77.04,328.8,13.2,440.08,268,7
None,17,6,2/03/2020,Monday,WCA,Ora.Gre,female,a9603,Within Control,Tall,,1780.38,4.0478,0,29.2,410.72,0.32,439.92,,0
None,18,1,2/03/2020,Monday,WCA,Gre.Bro,male,a9558,Within Control,Tall,,3004.42,6.82824,285.6,103.92,50.4,0.08,440.08,3.84,40
None,18,2,2/03/2020,Monday,WCA,Gre.Blu,female,a9553,Within Control,Tall,,2571.5,5.84431,138.32,105.12,196.64,0.8,440.08,56.16,26
None,18,3,2/03/2020,Monday,MB,Red.Pin,male,a9755,Maternal,Tall,,2177.79,4.94951,169.28,89.92,180.88,0.08,440.08,123.84,20
None,18,4,2/03/2020,Monday,MB,_.Ora,female,a10198,Maternal,Tall,,1632.96,3.71127,202.24,133.76,104.08,16.8,440.08,82.4,18
None,18,5,2/03/2020,Monday,MB,Gre.Ora,female,a9868,Maternal,Tall,,2381.1,5.4116,74.88,84.32,280.88,0.16,440.08,0,11
None,18,6,2/03/2020,Monday,MB,Bla.Gre,female,a9787,Maternal,Tall,,2333.01,5.30229,148.24,79.04,212.8,0.24,440.08,77.44,17
None,19,1,2/03/2020,Monday,MB,_.Blu,male,a9844,Maternal,Tall,,1535.95,3.49079,108.56,64.16,267.2,2.4,440.08,224.88,12
None,19,2,2/03/2020,Monday,MB,Blu.Blu,male,a9843,Maternal,Tall,,84.9706,0.193115,0,0,440.08,336.16,440.08,,0
None,19,3,2/03/2020,Monday,MB,Red.Bla,male,a9756,Maternal,Tall,,2492.15,5.66398,76.08,133.6,230.4,0.08,440.08,168.72,21
None,19,4,2/03/2020,Monday,MB,Ora.Yel,male,a9813,Maternal,Tall,wrong label,2384.68,5.42269,141.52,91.28,207.28,0.08,440.08,6.08,22
None,19,5,2/03/2020,Monday,MB,Pur.Pin,male,a9824,Maternal,Tall,,2583.12,5.87073,154.72,81.12,204.24,0.08,440.08,59.28,25
None,19,6,2/03/2020,Monday,MB,Gre.Pur,female,a9867,Maternal,Tall,,2114.05,4.80902,91.44,72.08,276.48,0.24,440,252.24,16
None,20,1,2/03/2020,Monday,MB,Yel.Ora,female,a9778,Maternal,Tall,,2402.68,5.46064,47.84,86.88,305.36,0.88,440.08,89.12,16
None,20,2,2/03/2020,Monday,MB,Pin.Whi,female,a9862,Maternal,Tall,,2441.2,5.54817,98.08,65.76,276.24,0.48,440.08,0,18
None,20,3,2/03/2020,Monday,MB,Red._,male,a9752,Maternal,Tall,,1542.01,3.50457,30.56,111.2,298.32,0.72,440.08,125.04,7
None,20,4,2/03/2020,Monday,MB,Pin.Yel,female,a9854,Maternal,Tall,,2962.48,6.74027,248,101.44,90.64,0,440.08,0,42
None,20,5,2/03/2020,Monday,MB,Ora.Pur,male,a9821,Maternal,Tall,,2107.24,4.78917,141.44,104.32,194.32,0,440.08,141.28,23
None,20,6,2/03/2020,Monday,MB,Yel.Bla,female,a9777,Maternal,Tall,,1943.15,4.41624,24.8,74.64,340.64,0.48,440.08,267.84,9
None,21,1,2/03/2020,Monday,MB,Yel.Yel,male,a9765,Maternal,Tall,,1777.06,4.03878,103.36,103.76,232.96,0.4,440.08,129.76,15
None,21,2,2/03/2020,Monday,MB,_.Red,male,a9849,Maternal,Tall,,1385.42,3.14867,15.2,51.2,373.68,2.56,440.08,303.04,5
None,21,3,2/03/2020,Monday,MB,_._,female,a9774,Maternal,Tall,,2103.53,4.78074,166.72,69.6,203.76,0.24,440.08,79.36,18
None,21,4,2/03/2020,Monday,MB,Blu.Gre,male,a9846,Maternal,Tall,,2093.42,4.7595,70.96,92.4,276.72,0.96,440.08,213.68,20
None,21,5,2/03/2020,Monday,WTA,Pin.Gre,female,a10087,Within Treatment,Tall,,8.6507,0.0196607,0,0,440.08,439.04,440.08,,0
None,21,6,2/03/2020,Monday,WTA,Ora.Bro,male,a10070,Within Treatment,Tall,,2279.9,5.19104,118.8,112.8,208.32,0.32,439.92,39.36,21
None,22,1,2/03/2020,Monday,WTA,Red.Bla,female,a10164,Within Treatment,Tall,,2341.83,5.32234,164.16,92.56,183.36,0.08,440.08,67.36,21
None,22,2,2/03/2020,Monday,WTA,Blu.Blu,female,a10046,Within Treatment,Tall,,2551.37,5.79857,135.36,117.68,187.04,0.4,440.08,8.8,27
None,22,3,2/03/2020,Monday,WTA,Red.Whi,female,a10172,Within Treatment,Tall,,2080.57,4.72857,113.28,119.04,207.76,1.04,440.08,100.8,23
None,22,4,2/03/2020,Monday,WTA,Pur.Blu,female,a10079,Within Treatment,Tall,,2957.08,6.7985,313.92,71.84,53.44,0.16,439.2,1.04,39
None,22,5,2/03/2020,Monday,WTA,Blu._,female,a10039,Within Treatment,Tall,,2555.16,5.80718,195.68,60,184.4,0.16,440.08,0,24
None,22,6,2/03/2020,Monday,WTA,Bro.Bro,male,a10201,Within Treatment,Tall,,2332.1,5.30022,348.32,49.68,42.08,0.24,440.08,1.92,18
None,23,1,2/03/2020,Monday,WTA,Gre.Blu,female,a10041,Within Treatment,Tall,,2164.02,4.91822,61.52,106.72,271.84,0.08,440.08,110,17
None,23,2,2/03/2020,Monday,WTA,Pin.Bla,male,a10092,Within Treatment,Tall,,1584.58,3.60132,26.16,47.84,366.08,1.12,440.08,188.24,8
None,23,3,2/03/2020,Monday,WTA,Whi.Yel,male,a10157,Within Treatment,Tall,,1897.59,4.3127,105.92,107.92,226.24,1.28,440.08,34.88,16
None,23,4,2/03/2020,Monday,WTA,Yel._,male,a10095,Within Treatment,Tall,,2859.48,6.51659,123.28,117.36,199.44,0.32,440.08,72.24,28
None,23,5,2/03/2020,Monday,WTA,Blu.Yel,male,a10055,Within Treatment,Tall,,2164.39,4.91906,130.64,85.52,223.92,0.24,440.08,5.52,27
None,23,6,2/03/2020,Monday,WTA,Whi.Pur,female,a10158,Within Treatment,Tall,,256.711,0.583434,0,0,440.08,303.6,440.08,,0
None,24,1,2/03/2020,Monday,WTA,Pin.Blu,male,a10090,Within Treatment,Tall,,3144.43,7.14642,142.24,138.8,159.04,0.24,440.08,54.32,45
None,24,2,2/03/2020,Monday,WTA,Pur._,male,a10077,Within Treatment,Tall,,1657.23,3.76642,74.56,111.44,254.08,0.8,440.08,39.52,14
None,24,3,2/03/2020,Monday,WTA,Gre.Gre,female,a10034,Within Treatment,Tall,,1036.11,2.3548,0,3.92,436.16,96.56,440.08,,0
None,24,4,2/03/2020,Monday,WTA,Ora.Red,male,a10064,Within Treatment,Tall,,2052.73,4.67294,80.96,134.88,224.08,0,439.92,0,20
None,24,5,2/03/2020,Monday,WTA,Red.Pur,male,a10166,Within Treatment,Tall,,144.155,0.327625,0,0,440.08,393.68,440.08,,0
None,24,6,2/03/2020,Monday,WTA,Gre.Pin,female,a10036,Within Treatment,Tall,,2457.16,5.5865,90.16,72.8,277.12,0.16,440.08,11.6,20
None,25,1,2/03/2020,Monday,PB,Whi._,female,a9924,Paternal,Tall,,2404.08,5.46382,173.52,128.32,138.24,0.4,440.08,20.24,32
None,25,2,2/03/2020,Monday,PB,_.Red,female,a9903,Paternal,Tall,,416.583,0.946779,0,0,440.08,175.68,440.08,,0
None,25,3,2/03/2020,Monday,PB,_.Pur,male,a9981,Paternal,Tall,probs female,2223.46,5.05331,79.44,86.64,274,2.88,440.08,158.96,20
None,25,4,2/03/2020,Monday,PB,Red._,male,a9941,Paternal,Tall,,2288.46,5.20862,221.28,76.72,142,0.24,440,25.2,23
None,25,5,2/03/2020,Monday,PB,Yel.Gre,male,a9901,Paternal,Tall,,2051.67,4.66289,117.28,110.96,211.84,0.08,440.08,49.6,19
None,25,6,2/03/2020,Monday,PB,Pin.Gre,female,a9952,Paternal,Tall,,988.432,2.24644,21.36,17.52,401.2,24.8,440.08,138.8,2
None,26,1,2/03/2020,Monday,PB,Whi.Ora,female,a9927,Paternal,Tall,,1314.5,2.98749,28.24,24.88,386.96,14.48,440.08,398.56,5
None,26,2,2/03/2020,Monday,PB,Blu.Gre,male,a9983,Paternal,Tall,,340.635,0.774171,0,0,440.08,289.84,440.08,,0
None,26,3,2/03/2020,Monday,PB,Red.Bla,male,a9949,Paternal,Tall,,1865.25,4.23919,109.92,143.52,186.64,1.44,440.08,130.24,18
None,26,4,2/03/2020,Monday,PB,Yel.Pur,female,a9899,Paternal,Tall,,1956.66,4.44937,47.04,67.6,325.44,0.72,440.08,205.44,11
None,26,5,2/03/2020,Monday,PB,Pur.Pur,female,a9982,Paternal,Tall,,1521.97,3.45903,72.4,48.08,319.6,0.48,440.08,297.28,13
None,26,6,2/03/2020,Monday,PB,Bro._,male,a9908,Paternal,Tall,,2130,4.84091,106.24,111.12,222.72,0.72,440.08,77.92,19
None,27,1,2/03/2020,Monday,PB,Bro.Bro,female,a9910,Paternal,Tall,,1173.25,2.66647,0,1.36,438.72,0.32,440.08,,0
None,27,2,2/03/2020,Monday,PB,Red.Yel,male,a9947,Paternal,Tall,,933.652,2.12194,30.4,51.76,357.92,109.28,440.08,336.56,4
None,27,3,2/03/2020,Monday,PB,Bla.Whi,female,a9923,Paternal,Tall,,2035.39,4.6259,294.24,54.96,90.88,0.4,440.08,96.32,22
None,27,4,2/03/2020,Monday,PB,Blu.Blu,male,a9973,Paternal,Tall,,1491.04,3.38873,238.24,80.4,121.44,4.16,440.08,106.48,16
None,27,5,2/03/2020,Monday,PB,Pin.Ora,female,a9953,Paternal,Tall,,1458.15,3.31399,28.16,50.72,361.2,0.96,440.08,204.8,5
None,27,6,2/03/2020,Monday,PB,Blu.Pur,male,a9975,Paternal,Tall,,674.279,1.53245,0,0,440.08,130.72,440.08,,0
None,28,1,2/03/2020,Monday,PB,Bro.Blu,male,a9937,Paternal,Tall,,1600.87,3.63835,0,0,440.08,0.24,440.08,,0
None,28,2,2/03/2020,Monday,PB,_.Ora,female,a9964,Paternal,Tall,,1105.06,2.5115,28.16,40.24,371.68,92.16,440.08,220.88,5
1,1,1,4/03/2020,Wed,PB,Bro._,male,a9908,Paternal,Old,,2156.61,5.13772,48.88,50.88,320.24,21.04,420.16,56.72,18
1,1,2,4/03/2020,Wed,PB,Bro.Bro,female,a9910,Paternal,Old,,3438.83,7.81552,3.28,22,414.8,0.56,440.08,196.72,3
1,1,3,4/03/2020,Wed,PB,Blu.Gre,male,a9983,Paternal,Old,,2800.18,6.36404,25.2,34.08,380.16,0.56,440.08,251.68,12
1,1,4,4/03/2020,Wed,PB,Red.Bla,male,a9949,Paternal,Old,,3027.01,6.88709,11.84,55.12,372.64,0.8,439.84,59.76,9
1,2,1,4/03/2020,Wed,PB,_.Pur,male,a9981,Paternal,Old,,2752.88,6.2611,13.6,24.8,401.68,0.24,440.08,0,8
1,2,2,4/03/2020,Wed,PB,Whi._,female,a9924,Paternal,Old,,2311.51,5.25631,68.32,142.56,229.2,0.32,440.08,77.68,40
1,2,3,4/03/2020,Wed,PB,_.Ora,female,a9964,Paternal,Old,,3231.91,7.36669,39.04,59.92,340.08,0.4,439.04,81.92,14
1,2,4,4/03/2020,Wed,PB,Pin.Gre,female,a9952,Paternal,Old,,2764.04,6.28192,75.6,76.64,287.6,0.56,440.08,218.56,29
1,3,1,4/03/2020,Wed,PB,Blu.Pur,male,a9975,Paternal,Old,,3074.57,7.00295,3.44,22.32,413.36,10.24,439.12,398.08,3
1,3,2,4/03/2020,Wed,PB,Pin.Ora,female,a9953,Paternal,Old,,2510.82,5.71056,10.88,46.64,382.24,0.88,439.76,39.28,11
1,3,3,4/03/2020,Wed,PB,Yel.Gre,male,a9901,Paternal,Old,,3008.16,6.84419,38,76.88,324.88,0.16,439.76,188.24,13
1,3,4,4/03/2020,Wed,PB,Yel.Pur,female,a9899,Paternal,Old,,4167.93,9.47257,0,1.76,437.92,12.4,440.08,,0
1,4,1,4/03/2020,Wed,WTA,Red.Pur,male,a10166,Within Treatment,Old,Change arena settings,2560.46,5.82029,18.08,33.6,388.32,0.88,440,234.64,8
1,4,2,4/03/2020,Wed,WTA,Pin.Bla,male,a10092,Within Treatment,Old,,2809.48,6.38517,8,60.24,371.84,0.16,440.08,140.24,11
1,4,3,4/03/2020,Wed,WTA,Gre.Blu,female,a10041,Within Treatment,Old,,3400.82,7.73476,1.52,11.36,425.76,11.76,440,369.44,1
